Stock,Date,Open,High,Low,Close,Volume,Log Return,Volatility
AAPL,2022-06-30,149.9,151.74,129.04,136.72,1749297959,-0.17280449953058163,
AAPL,2022-05-31,156.71,166.48,132.61,148.84,2400305601,0.08493686467108635,
AAPL,2022-04-29,174.03,178.49,155.38,157.65,1683547838,0.05750548251264804,
AAPL,2022-03-31,164.695,179.61,150.1,174.61,2171827429,0.10217752954296634,
AAPL,2022-02-28,174.01,176.65,152.0,165.12,1628570227,-0.055882433240838233,
AAPL,2022-01-31,177.83,182.94,154.7,174.78,2106513962,0.056855557906200345,
AAPL,2021-12-31,167.48,182.13,157.8,177.57,2443227128,0.015836857171345156,
AAPL,2021-11-30,148.985,165.7,147.48,165.3,1688864233,-0.07160289254376473,
AAPL,2021-10-29,141.9,153.165,138.27,149.8,1565079040,-0.0984609337438594,
AAPL,2021-09-30,152.83,157.26,141.27,141.5,1797948421,-0.057001353999826906,
AAPL,2021-08-31,146.36,153.49,144.5,151.83,1462773381,0.07046175681080416,
AAPL,2021-07-30,136.6,150.0,135.76,145.86,1916751489,-0.040114216338009295,
AAPL,2021-06-30,125.08,137.41,123.13,136.96,1606114354,-0.0629583451626551,
AAPL,2021-05-28,132.04,134.07,122.25,124.61,1711935110,-0.09450005243865585,
AAPL,2021-04-30,123.66,137.07,122.49,131.46,1889956694,0.05351376288065395,
AAPL,2021-03-31,123.75,128.72,116.21,122.15,2650845211,-0.07345282513168074,
AAPL,2021-02-26,133.75,137.877,118.39,121.26,1825486961,-0.007312797060164885,
AAPL,2021-01-29,133.52,145.09,126.382,131.96,2239366098,0.08456184571679604,
AAPL,2020-12-31,121.01,138.789,120.01,132.69,2319687808,0.005516734187964289,
AAPL,2020-11-30,109.11,121.99,107.32,119.05,2122724412,-0.10847200761547332,
AAPL,2020-10-30,117.64,125.39,107.72,108.86,2895317580,-0.08948091992681785,
AAPL,2020-09-30,132.76,137.98,103.1,115.81,3886793083,0.061888264190232314,
AAPL,2020-08-31,432.8,515.14,126.0,129.04,1184207050,0.10817151662066697,
AAPL,2020-07-31,365.12,425.66,356.58,425.04,755162226,1.1920608483257344,
AAPL,2020-06-30,317.75,372.38,317.21,364.8,810900890,-0.15283402394251144,
AAPL,2020-05-29,286.25,324.24,285.85,317.94,701660022,-0.13748657246745064,
AAPL,2020-04-30,246.5,294.53,236.9,293.8,816530808,-0.07896342199294874,
AAPL,2020-03-31,282.28,304.0,212.61,254.29,1570331732,-0.1444239157184011,
